"번호","사업장명","소재지전체주소","도로명전체주소","인허가일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지면적","소재지우편번호","총종업원수","축산물가공업구분명","축산업무구분명","전화번호","위치정보(X)","위치정보(Y)","인허가번호","상세영업상태명"
"222","건강한 약국","서울특별시 성북구 하월곡동 88-427번지 ","서울특별시 성북구 동소문로42길 14 (하월곡동)","20130711","운영중","","","","","","","","","동물약국","","202453.19568700000  ","456238.63380300000  ","307000001120130007","정상"
"223","청솔약국","서울특별시 성북구 장위동 307-47번지 ","서울특별시 성북구 한천로 743 (장위동)","20130722","운영중","","","","","","","","","동물약국","909-8067","204507.53531300000  ","458096.51831700000  ","307000001120130008","정상"
"224","새석관약국","서울특별시 성북구 석관동 252-4번지 ","서울특별시 성북구 돌곶이로 59 (석관동)","20130722","운영중","","","","","","","","","동물약국","967-0777","205182.12707100000  ","456598.79652200000  ","307000001120130009","정상"
"225","서울성북 동물약국","서울특별시 성북구 돈암동 48-4번지 ","서울특별시 성북구 동소문로 181 (돈암동)","20130807","운영중","","","","","","","","","동물약국","924-5191","201893.72315700000  ","455424.28613900000  ","307000001120130012","정상"
"226","온누리진호약국","서울특별시 성북구 석관동 306-7번지 ","서울특별시 성북구 돌곶이로 36-1 (석관동)","20130814","운영중","","","","","","","","","동물약국","964-1944","205348.67377200000  ","456447.99864800000  ","307000001120130014","정상"
"227","행복한약국","서울특별시 성북구 동선동1가 79번지 ","서울특별시 성북구 보문로34길 59 1층 (동선동1가)","20140214","운영중","","","","","","","","","동물약국","927-8253","201641.08305300000  ","454616.50514300000  ","307000001120140002","정상"
"228","옵티마 e-편한약국","서울특별시 성북구 길음동 1281-6번지 대림아파트단지상가 316호 ","서울특별시 성북구 삼양로13길 45 (길음동 대림아파트단지상가 316호)","20150204","운영중","","","","","","","","","동물약국","909-3525","201736.89886000000  ","456793.48774400000  ","307000001120150001","정상"
"229","메디팜현대약국","","서울특별시 마포구 신촌로 72 (노고산동)","20150615","운영중","","","","","","","","","동물약국","02 336 0011","194154.21656900000  ","450714.57836400000  ","313000001120150003","정상"
"230","유일약국","서울특별시 은평구 수색동 364-1번지 ","서울특별시 은평구 수색로18길 2 (수색동)","20040326","운영중","","","","","0","","","","동물약국","02-372-9803","190637.73582700000  ","453757.48092200000  ","311000001120040004","정상"
"231","이정약국","서울특별시 은평구 갈현동 255번지 ","서울특별시 은평구 갈현로33길 27 (갈현동)","20040615","운영중","","","","","334.53","","","","동물약국","354-2195","192365.95445100000  ","457981.86137900000  ","311000001120040007","정상"
"232","구세약국","서울특별시 은평구 응암동 598-1번지 ","서울특별시 은평구 응암로 181 (응암동)","20040619","운영중","","","","","79.5","","","","동물약국","02-372-2705","192626.69721600000  ","454297.56695300000  ","311000001120040008","정상"
"233","연신내메디칼약국","서울특별시 은평구 불광동 308-10번지 타워크리닉 104호 ","서울특별시 은평구 연서로 246 (불광동)","20110824","운영중","","","","","0","","","","동물약국","355-6543","193167.42520000000  ","457719.83209400000  ","311000001120110001","정상"
"234","희래약국","서울특별시 은평구 갈현동 529-35번지 ","서울특별시 은평구 서오릉로18길 6-17 (갈현동)","20130607","운영중","","","","","","","","","동물약국","","192138.74326900000  ","457241.61267300000  ","311000001120130004","정상"
"235","새서울약국","서울특별시 은평구 대조동 226-3번지 ","서울특별시 은평구 서오릉로 134 (대조동)","20130613","운영중","","","","","","","","","동물약국","02-355-6420","192770.58539500000  ","456828.34621300000  ","311000001120130005","정상"
"236","세종약국","서울특별시 은평구 대조동 12-29번지 ","서울특별시 은평구 불광로 25 (대조동)","20130619","운영중","","","","","0","","","","동물약국","384-1545","193704.11193400000  ","456787.30534700000  ","311000001120130006","정상"
"237","남대문약국","서울특별시 은평구 갈현동 425-2번지 ","서울특별시 은평구 통일로87길 19 (갈현동)","20130724","운영중","","","","","","","","","동물약국","02-351-3668","192718.38957100000  ","458191.04380800000  ","311000001120130007","정상"
"238","초록약국","서울특별시 은평구 증산동 223-47번지 ","서울특별시 은평구 수색로 191 (증산동)","20130809","운영중","","","","","","","","","동물약국","02-376-7408","191261.44227000000  ","453193.61384300000  ","311000001120130009","정상"
"239","시장약국","서울특별시 은평구 불광동 314-34번지 ","서울특별시 은평구 연서로 257 (불광동)","20130812","운영중","","","","","0","","","","동물약국","02-389-4222","193219.31603900000  ","457843.28384300000  ","311000001120130010","정상"
"240","뉴타운메디컬약국","서울특별시 은평구 진관동 20번지 상림마을 상가821동 115호 ","서울특별시 은평구 진관3로 70 (진관동 상림마을 상가 821동 115호)","20130829","운영중","","","","","","","","","동물약국","02-357-0777","193264.81733800000  ","460399.31051000000  ","311000001120130011","정상"
"241","오온누리약국","서울특별시 은평구 역촌동 17-18번지 ","서울특별시 은평구 진흥로 97 (역촌동)","20130930","운영중","","","","","","","","","동물약국","02-701-7063","193127.79218500000  ","456224.64595400000  ","311000001120130012","정상"
"242","조은백화점약국","서울특별시 은평구 응암동 590-4번지 ","서울특별시 은평구 응암로 201 (응암동)","20131007","운영중","","","","","","","","","동물약국","304-6100","192658.98183200000  ","454499.11804100000  ","311000001120130013","정상"
"243","불광온누리약국","서울특별시 은평구 불광동 281-108번지 ","서울특별시 은평구 통일로 732 (불광동)","20140113","운영중","","","","","0","","","","동물약국","02-359-0391","193809.67506000000  ","456814.47153500000  ","311000001120140001","정상"
"244","은평온누리약국","서울특별시 은평구 응암동 96-1번지 ","서울특별시 은평구 은평로 170 (응암동)","20140305","운영중","","","","","","","","","동물약국","","193523.84489500000  ","455726.36290500000  ","311000001120140003","정상"
"245","은평구 불광역 동물약국","서울특별시 은평구 대조동 6-9번지 101호","서울특별시 은평구 통일로 739 101호 (대조동)","20140512","운영중","","","","","","","","","동물약국","02-353-1144","193707.68275100000  ","456854.16841700000  ","311000001120140004","정상"
"246","세계로약국","서울특별시 은평구 불광동 281-12번지 ","서울특별시 은평구 불광로 54 (불광동)","20140521","운영중","","","","","","","","","동물약국","02-355-0513","193950.25299400000  ","456916.85331100000  ","311000001120140005","정상"
"247","청수약국","서울특별시 은평구 녹번동 131-154번지 1층 ","서울특별시 은평구 진흥로 150 1층 (녹번동)","20141028","운영중","","","","","","","","","동물약국","02-355-6366","193522.76275100000  ","456564.88242400000  ","311000001120140006","정상"
"248","은평동물약국","서울특별시 은평구 녹번동 79-32번지 ","서울특별시 은평구 은평로 197-2 (녹번동)","20150203","운영중","","","","","","","","","동물약국","355-3464","193782.79875900000  ","455827.48271600000  ","311000001120150002","정상"
"249","유명약국","","서울특별시 관악구 난곡로 202 1층 (신림동)","20150707","운영중","","","","","0","","","","동물약국","02-866-6414","192848.67143000000  ","441515.34707800000  ","320000001120150003","정상"
"250","종로태평양약국","서울특별시 중랑구 묵동 238-13번지 ","서울특별시 중랑구 동일로 917 (묵동)","20150714","운영중","","","","","0","","","","동물약국","02-979-0426","206807.95746000000  ","456961.00709400000  ","306000001120150003","정상"
"251","강약국","서울특별시 동작구 흑석동 97-2번지 ","서울특별시 동작구 서달로 158 104호 (흑석동)","20150729","운영중","","","","","","","","","동물약국","02-816-8766","196668.63421100000  ","445311.93865900000  ","319000001120150004","정상"
"252","북가좌동물약국","","서울특별시 서대문구 증가로 241 (북가좌동)","20130515","운영중","","","","","94.36","","","","동물약국","303-9155","192293.46856800000  ","453673.44173600000  ","312000001120130001","정상"
"253","푸름약국","서울특별시 서대문구 연희동 135-1번지 ","서울특별시 서대문구 연희로 122 (연희동)","20130531","운영중","","","","","36","","","","동물약국","231433030","194030.03785300000  ","452104.19007800000  ","312000001120130002","정상"
"254","명문약국","서울특별시 서대문구 연희동 165-14번지 ","서울특별시 서대문구 연희로36길 10 (연희동)","20130603","운영중","","","","","","","","","동물약국","02-332-5677","194408.71108000000  ","453231.55070800000  ","312000001120130003","정상"
"255","홍인약국","서울특별시 서대문구 홍제동 460번지 ","서울특별시 서대문구 통일로34길 46 (홍제동)","20130612","운영중","","","","","19.12","","","","동물약국","","195736.26409700000  ","454061.14832400000  ","312000001120130004","정상"
"256","혜성약국","서울특별시 서대문구 북가좌동 3-36번지 ","서울특별시 서대문구 증가로20가길 89 (북가좌동)","20130627","운영중","","","","","90","","","","동물약국","373-1190","192885.96100200000  ","453656.04224000000  ","312000001120130005","정상"
"257","대학온누리약국","서울특별시 서대문구 홍은동 9-86번지 ","서울특별시 서대문구 홍은중앙로 100-1 (홍은동)","20130722","운영중","","","","","66","","","","동물약국","234118776","195464.16485800000  ","455537.65362600000  ","312000001120130006","정상"
"258","용한약국","서울특별시 서대문구 북가좌동 449번지 삼호아파트 상가 111호","서울특별시 서대문구 거북골로16길 36 (북가좌동)","20130723","운영중","","","","","23","","","","동물약국","23071377","192324.06989600000  ","453084.66837900000  ","312000001120130007","정상"
"259","햇살약국","서울특별시 서대문구 북가좌동 144번지 DMC 래미안e편한세상 101동 104호","서울특별시 서대문구 수색로 100 (북가좌동 DMC 래미안e편한세상 101동 104호)","20130730","운영중","","","","","33","","","","동물약국","23092656","192307.06663600000  ","453090.17783600000  ","312000001120130008","정상"
"260","알파약국","","서울특별시 서대문구 통일로 448 (홍제동)","20150323","운영중","","","","","171.95","","","","동물약국","232176474","195094.22119100000  ","454368.73323100000  ","312000001120150001","정상"
"261","신월시장약국","서울특별시 양천구 신월동 115-11번지 ","서울특별시 양천구 곰달래로13길 20-1 (신월동)","20150707","운영중","","","","","","","","","동물약국","2602-7613","185563.96823400000  ","448041.64948500000  ","314000001120150005","정상"
"262","유한약국","서울특별시 마포구 중동 64-14번지 ","서울특별시 마포구 월드컵북로 236 (중동)","20040312","운영중","","","","","0","","","","동물약국","305-4490","191468.63062100000  ","452310.94957500000  ","313000001120040001","정상"
"263","이당약국","서울특별시 마포구 서교동 364-23번지 ","서울특별시 마포구 어울마당로 80 (서교동)","20040421","운영중","","","","","0","","","","동물약국","334-6427","193080.00808800000  ","450291.69247900000  ","313000001120040002","정상"
"264","메디팜건우약국","서울특별시 마포구 아현동 613-9번지 ","서울특별시 마포구 마포대로 205 (아현동)","20040624","운영중","","","","","0","","","","동물약국","364-4520","196105.16465300000  ","450333.37317700000  ","313000001120040003","정상"
"265","미동약국","서울특별시 마포구 신수동 85-5번지 ","서울특별시 마포구 광성로6길 16 (신수동)","20040811","운영중","","","","","0","","","","동물약국","716-6785","194564.01507200000  ","449955.85153500000  ","313000001120040005","정상"
"266","안생약국","서울특별시 마포구 상수동 331-11번지 ","서울특별시 마포구 와우산로 22 (상수동)","20050106","운영중","","","","","0","","","","동물약국","334-3486","193208.95119200000  ","449649.25051100000  ","313000001120050001","정상"
"267","올리브 약국","서울특별시 마포구 노고산동 57-12번지 ","서울특별시 마포구 신촌로 88 (노고산동)","20130221","운영중","","","","","","","","","동물약국","23355606","194285.92738500000  ","450644.77598500000  ","313000001120130001","정상"
"268","건강약국","서울특별시 마포구 망원동 475-1번지 ","서울특별시 마포구 방울내로 70 (망원동)","20130515","운영중","","","","","","","","","동물약국","333-2090","191459.25320200000  ","451179.44102100000  ","313000001120130003","정상"
"269","대교약국","서울특별시 마포구 도화동 250-1번지 에벤에셀빌딩 1층 3호 ","서울특별시 마포구 도화길 10 (도화동)","20130529","운영중","","","","","","","","","동물약국","02 714 5849","195352.21086900000  ","448923.58589700000  ","313000001120130005","정상"
"270","유명온누리 약국","","서울특별시 마포구 만리재옛길 101-1 (아현동 삼성래미안공덕2차 상가2동(102호))","20130704","운영중","","","","","","","","","동물약국","02 702 7840","196600.54523600000  ","450214.93015500000  ","313000001120130007","정상"
"271","참마음온누리약국","서울특별시 마포구 서교동 392-20번지 체리스빌딩101호 ","서울특별시 마포구 양화로 73 (서교동체리스빌딩101호)","20130809","운영중","","","","","0","","","","동물약국","","192573.99072800000  ","450217.12793900000  ","313000001120130008","정상"
"272","파마트엘지약국","서울특별시 마포구 동교동 165-8번지 LG팰리스빌딩 116호 ","서울특별시 마포구 양화로 156 (동교동LG팰리스빌딩 116호)","20130812","운영중","","","","","","","","","동물약국","02-326-1678","193235.82517300000  ","450734.72456900000  ","313000001120130009","정상"
"273","이화약국","서울특별시 마포구 성산동 260-39번지 ","서울특별시 마포구 월드컵로 126 (성산동)","20130816","운영중","","","","","","","","","동물약국","02 892 1767","191806.31155400000  ","451117.31415500000  ","313000001120130010","정상"
"274","인선약국","서울특별시 마포구 공덕동 249-12번지 영명빌딩 ","서울특별시 마포구 마포대로8길 9 (공덕동 영명빌딩)","20130819","운영중","","","","","0","","","","동물약국","","195929.71918400000  ","449679.74857300000  ","313000001120130012","정상"
"275","미약국","서울특별시 마포구 대흥동 12-23번지 중우빌딩 1층 102호 ","서울특별시 마포구 신촌로 174 (대흥동중우빌딩 1층 102호)","20130903","운영중","","","","","","","","","동물약국","","195140.03229700000  ","450774.88431600000  ","313000001120130013","정상"
"276","참마음 온누리 약국","서울특별시 마포구 서교동 392-20번지 체리스 빌딩101호 ","서울특별시 마포구 양화로 73 (서교동)","20130909","운영중","","","","","","","","","동물약국","","192573.99072800000  ","450217.12793900000  ","313000001120130015","정상"
"277","종오약국","서울특별시 마포구 공덕동 1-70번지 ","서울특별시 마포구 만리재로 130 (공덕동)","20131022","운영중","","","","","","","","","동물약국","02 514 4105","196644.61276800000  ","450165.01465800000  ","313000001120130016","정상"
"278","3층약국","서울특별시 마포구 중동 64-25번지 현대상가305호 ","서울특별시 마포구 월드컵북로 230 (중동 현대상가305호)","20131128","운영중","","","","","","","","","동물약국","","191504.28124900000  ","452293.32251100000  ","313000001120130018","정상"
"279","다나약국","서울특별시 마포구 대흥동 2-39번지 ","서울특별시 마포구 대흥로 186-2 1층 (대흥동)","20140114","운영중","","","","","","","","","동물약국","27153133","195236.77351100000  ","450691.27723300000  ","313000001120140001","정상"
"280","튼튼약국","서울특별시 마포구 망원동 484-5번지 ","서울특별시 마포구 월드컵로 103 1층 (망원동)","20140721","운영중","","","","","","","","","동물약국","231410683","191903.29202900000  ","450905.32742800000  ","313000001120140002","정상"
"281","희약국","","서울특별시 마포구 와우산로 93 1층 (서교동)","20150116","운영중","","","","","","","","","동물약국","263681005","193282.21263000000  ","450363.17990200000  ","313000001120150001","정상"
"282","리드팜 힘찬약국","","서울특별시 관악구 은천로 109 (봉천동)","20150709","운영중","","","","","1929.96","","","","동물약국","02-885-7422","195355.00012800000  ","443062.31893800000  ","320000001120150004","정상"
"283","다마트약국","서울특별시 강서구 방화동 ","서울특별시 강서구 금낭화로 135 (방화동 금강프라자빌딩)","20150702","운영중","","","","","0","","","","동물약국","2661-8998","183431.91249200000  ","453116.10109200000  ","315000001120150003","정상"
"284","대우당약국","서울특별시 금천구 시흥동 921-1번지 ","서울특별시 금천구 은행나무로 34 (시흥동)","20150902","운영중","","","","","0","","","","동물약국","02-808-8960","191694.35484900000  ","439036.83120800000  ","317000001120150001","정상"
"285","산들약국","서울특별시 강동구 암사동 414-2번지 ","서울특별시 강동구 고덕로 131 (암사동 강동롯데캐슬퍼스트아파트)","20150828","운영중","","","","","","","","","동물약국","02-3428-1231","212754.82244600000  ","450957.98485400000  ","324000001120150006","정상"
"286","신세계약국","서울특별시 은평구 녹번동 131-49번지 ","서울특별시 은평구 진흥로12길 3 1층 (녹번동)","20160111","운영중","","","","","","","","","동물약국","02-385-6537","193527.05268500000  ","456538.51923900000  ","311000001120160001","정상"
"287","라파온누리약국","서울특별시 도봉구 창동 484-33번지 ","서울특별시 도봉구 우이천로4길 42 1층 (창동)","20160421","운영중","","","","","","","","","동물약국","29954998","203678.77512100000  ","459381.56380700000  ","309000001120160003","정상"
"288","봄약국","서울특별시 서초구 내곡동 143번지 서초 포레스타2단지 상가 203호","서울특별시 서초구 헌릉로8길 45 203호 (내곡동 서초 포레스타 2단지 상가)","20160421","운영중","","","","","","","","","동물약국","02-575-0112","205229              ","439241              ","321000001120160004","정상"
"289","건강한약국","서울특별시 광진구 중곡동 115-9번지 ","서울특별시 광진구 천호대로 655 (중곡동)","20160608","운영중","","","","","","","","","동물약국","02-945-6363","207928.58498100000  ","450345.83181500000  ","304000001120160001","정상"
"290","구로프라자약국","서울특별시 구로구 개봉동 403-157번지 ","서울특별시 구로구 개봉로 32 (개봉동)","20160601","운영중","","","","","0","","","","동물약국","226136044","187304.88597400000  ","443234.50752300000  ","316000001120160003","정상"
"291","원당프라자약국","서울특별시 관악구 봉천동 1637-1번지 ","서울특별시 관악구 남부순환로248길 15 1층 (봉천동)","20160608","운영중","","","","","0","","","","동물약국","02-872-0050","196967.97740000000  ","441769.05724600000  ","320000001120160005","정상"
"292","365온누리약국","서울특별시 서초구 방배동 812-10번지 1층 ","서울특별시 서초구 방배로 209 1층 (방배동)","20160516","운영중","","","","","","","","","동물약국","02-599-3652","199176.97639000000  ","443597.55658100000  ","321000001120160006","정상"
"293","힘찬약국","서울특별시 도봉구 쌍문동 503-12번지 ","서울특별시 도봉구 삼양로 580-4 (쌍문동 노스브릭)","20160719","운영중","","","","","0","","","","동물약국","996-9114","201107              ","461389              ","309000001120160007","정상"
"294","대명약국","서울특별시 영등포구 영등포동 618-79번지 ","서울특별시 영등포구 영신로19길 7 (영등포동)","20160805","운영중","","","","","","","","","동물약국","02-844-5433","191771.30245400000  ","446091.67168000000  ","318000001120160002","정상"
"295","신세계약국","","서울특별시 종로구 종로 124-1 (종로3가)","20160804","운영중","","","","","0","","","","동물약국","02-945-2636","199240.02289200000  ","452288.38088600000  ","300000001120160004","정상"
"296","메디팜나은약국","서울특별시 용산구 한강로1가 64번지 1층 110호","서울특별시 용산구 한강대로 211 1층 110호 (한강로1가 대우 월드마크 용산)","20160718","운영중","","","","","","","","","동물약국","02-373-8068","197620.56891600000  ","448632.83061000000  ","302000001120160001","정상"
"297","보현약국","서울특별시 용산구 용산동2가 1-530번지 ","서울특별시 용산구 신흥로20길 1 (용산동2가 세명치과)","20160718","운영중","","","","","","","","","동물약국","02-775-1981","198683.44856000000  ","449600.31377900000  ","302000001120160002","정상"
"298","수진약국","서울특별시 강남구 대치동 511번지 한보미도종합상가 119호 ","서울특별시 강남구 삼성로 150 (대치동 한보미도맨션)","20160818","운영중","","","","","0","","","","동물약국","02-554-4691","206155.52145600000  ","444031.00884400000  ","322000001120160010","정상"
"299","국제약국","","서울특별시 동대문구 답십리로 252 1층 (장안동)","20160818","운영중","","","","","0","","","","동물약국","2245-6384","206025.94245000000  ","452541.37467200000  ","305000001120160005","정상"
"300","아 현 종 로 약 국","","서울특별시 마포구 굴레방로9길 2 1층 (아현동)","20160706","운영중","","","","","","","","","동물약국","02 313 3400","196074.13242500000  ","450823.27654200000  ","313000001120160004","정상"
"301","행복한 약국","","서울특별시 종로구 자하문로17길 23 (통인동)","20160901","운영중","","","","","0","","","","동물약국","02-722-7439","197298.80759900000  ","453527.56686300000  ","300000001120160006","정상"
"302","사러가약국","서울특별시 영등포구 신길동 261-22번지 104호","서울특별시 영등포구 가마산로 468 104호 (신길동 레전드힐스)","20161121","운영중","","","","","","","","","동물약국","02-6439-0054","191899.60640900000  ","445133.03159700000  ","318000001120160003","정상"
"303","경희고황약국","","서울특별시 동대문구 경희대로 17 (회기동)","20161121","운영중","","","","","","","","","동물약국","02-6013-1165","204631.98357600000  ","454844.72191800000  ","305000001120160008","정상"
"304","한겨례약국","서울특별시 은평구 갈현동 456-36번지 ","서울특별시 은평구 연서로 219 (갈현동)","20161205","운영중","","","","","","","","","동물약국","02-365-7159","192912.59753600000  ","457640.37294200000  ","311000001120160005","정상"
"305","수서역정민아약국","서울특별시 강남구 수서동 725-101번지 수서타워 1층 ","서울특별시 강남구 광평로56길 8-13 1층 101호 (수서동 수서타워)","20161124","운영중","","","","","","","","","동물약국","02-3412-7655","209124.77597800000  ","443039.38544800000  ","322000001120160014","정상"
"306","착한약국","서울특별시 도봉구 창동 601-32번지 ","서울특별시 도봉구 덕릉로 253 1층 (창동)","20170331","운영중","","","","","","","","","동물약국","905-2597","203477.10992500000  ","460076.21319100000  ","309000001120170004","정상"
"307","유림온누리약국","서울특별시 동작구 사당동 252-17번지 ","서울특별시 동작구 사당로 215 107호 (사당동 서림빌딩)","20170526","운영중","","","","","0","","","","동물약국","02-532-8225","197554.09065800000  ","442779.66103700000  ","319000001120170002","정상"
"308","우성당약국","서울특별시 동작구 신대방동 565번지 ","서울특별시 동작구 여의대방로 22 1층 104호 (신대방동)","20150602","운영중","","","","","","","","","동물약국","02-845-9312","192330.72985400000  ","443833.28945600000  ","319000001120150002","정상"
"309","프라자약국","","서울특별시 송파구 양재대로 1222 3층 22호 (방이동 올림픽프라자)","20150819","운영중","","","","","","","","","동물약국","02-3012-0002","211780.33450800000  ","446337.88834800000  ","323000001120150006","정상"
"310","온누리현대약국","서울특별시 광진구 구의동 546-4번지 ","서울특별시 광진구 광나루로56길 85 지하1층 12호 (구의동)","20150810","운영중","","","","","0","","","","동물약국","3424-1120","208457.61403900000  ","448473.46175400000  ","304000001120150001","정상"
"311","휴베이스 다정약국","","서울특별시 관악구 남부순환로 1944 1층 106호 (봉천동)","20150817","운영중","","","","","","","","","동물약국","02-878-0222","196886.35733200000  ","441875.91142900000  ","320000001120150005","정상"
"312","수약국","","서울특별시 송파구 가락로 113 104호 (석촌동 금도빌딩)","20151230","운영중","","","","","","","","","동물약국","02-423-2664","209606.72963000000  ","444696.08940400000  ","323000001120150010","정상"
"313","미션약국","서울특별시 노원구 상계동 651-6번지 ","서울특별시 노원구 동일로 1533 102호 (상계동 백산빌딩)","20160411","운영중","","","","","","","","","동물약국","","205050.87367100000  ","462859.25897600000  ","310000001120160003","정상"
"314","녹십자약국","","서울특별시 송파구 올림픽로 130 1층 (잠실동)","20160509","운영중","","","","","0","","","","동물약국","24247434","207512.90831000000  ","445769.66807100000  ","323000001120160006","정상"
"315","가좌진약국","서울특별시 서대문구 남가좌동 102-24번지 ","서울특별시 서대문구 수색로 20 1층 (남가좌동 문화빌딩)","20160513","운영중","","","","","","","","","동물약국","","192612.89720600000  ","452146.38801000000  ","312000001120160003","정상"
"316","신월우리약국","","서울특별시 양천구 월정로 51 (신월동 청송프라임)","20160429","운영중","","","","","","","","","동물약국","","186002.77494500000  ","447204.51322600000  ","314000001120160003","정상"
"317","라온약국","서울특별시 강남구 역삼동 837번지 ","서울특별시 강남구 강남대로 318 (역삼동 TOWER837)","20160725","운영중","","","","","","","","","동물약국","","202757.43729700000  ","443568.89070500000  ","322000001120160008","정상"
"318","하늘약국","서울특별시 마포구 합정동 373-17번지 203호","서울특별시 마포구 독막로 2 203호 (합정동)","20160727","운영중","","","","","","","","","동물약국","02 322 2365","192368.51929700000  ","449889.88377700000  ","313000001120160005","정상"
"319","관악미래약국","서울특별시 관악구 봉천동 893-18번지 ","서울특별시 관악구 남부순환로 1777 1층 (봉천동 금영빌딩)","20160810","운영중","","","","","0","","","","동물약국","02-875-3450","195366.92844200000  ","442514.75230800000  ","320000001120160007","정상"
"320","이화메세나약국","","서울특별시 마포구 양화로 45 B105호 (서교동 메세나폴리스몰)","20160810","운영중","","","","","","","","","동물약국","02 332 5452","192416.98559300000  ","450223.54272000000  ","313000001120160006","정상"
"321","위례푸른약국","서울특별시 송파구 장지동 880번지 ","서울특별시 송파구  위례광장로  193 (장지동)","20160701","운영중","","","","","0","","","","동물약국","","212511              ","442178              ","323000001120160008","정상"
"322","더블유스토어 하이약국","서울특별시 서초구 서초동 1578-5번지 ","서울특별시 서초구 사임당로 39 (서초동 한성빌딩)","20160802","운영중","","","","","","","","","동물약국","070-4117-8275","201246.57357300000  ","443218.85860600000  ","321000001120160010","정상"
"323","이문태평양약국","서울특별시 동대문구 이문동 292-33번지 ","서울특별시 동대문구 이문로 126 (이문동)","20160719","운영중","","","","","","","","","동물약국","","205425.21207400000  ","455360.97960800000  ","305000001120160004","정상"
"324","모범약국","","서울특별시 송파구 백제고분로 258 (삼전동 삼전원빌딩)","20160808","운영중","","","","","","","","","동물약국","","208404.16315200000  ","444763.34717800000  ","323000001120160009","정상"
"325","가야온누리약국","서울특별시 도봉구 창동 331-1번지 ","서울특별시 도봉구 노해로65길 17-9 (창동)","20161027","운영중","","","","","0","","","","동물약국","997-4540","204037.33959900000  ","461370.17853300000  ","309000001120160010","정상"
"326","건강약국","서울특별시 노원구 공릉동 653-3번지 ","서울특별시 노원구 화랑로 463 (공릉동 제일정형외과의원)","20161208","운영중","","","","","","","","","동물약국","","206943.58598100000  ","457715.03585000000  ","310000001120160008","정상"
"327","오월애약국","서울특별시 강동구 길동 445-1번지 ","서울특별시 강동구 천호대로 1107 102호 (길동 강동역에스케이허브)","20161104","운영중","","","","","","","","","동물약국","02-477-393102-473-0519","211917.81132500000  ","448461.61832300000  ","324000001120160003","정상"
"328","태평양 온누리 약국","","서울특별시 양천구 신월로 314 (신정동)","20161027","운영중","","","","","","","","","동물약국","","187258.47067600000  ","446872.08612100000  ","314000001120160008","정상"
"329","다산온누리약국","서울특별시 중구 신당동 ","서울특별시 중구 다산로 133-1 (신당동)","20161103","운영중","","","","","297.36","","","","동물약국","02-381-5190","200969.11403600000  ","450706.17529800000  ","301000001120160003","정상"
"330","트램온누리약국","","서울특별시 송파구 위례광장로 136 E동 205호 (장지동 위례아이파크)","20161103","운영중","","","","","","","","","동물약국","24030020","212469              ","441602              ","323000001120160011","정상"
"331","일번약국","서울특별시 송파구 풍납동 269-30번지 ","서울특별시 송파구 토성로 21 (풍납동)","20161103","운영중","","","","","","","","","동물약국","473-0056","209988.00398700000  ","447928.83272500000  ","323000001120160012","정상"
"332","종우약국","서울특별시 송파구 방이동 89-11번지 올림픽선수촌(아)중심상가 94동 1층 ","서울특별시 송파구 양재대로 1222 (방이동올림픽선수촌(아)중심상가 94동 1층)","20030605","운영중","","","","","0","","","","동물약국","406-2271","211780.33450800000  ","446337.88834800000  ","323000001120030001","정상"
"333","온누리건강약국","","서울특별시 송파구 양재대로 1222 (방이동)","20100617","운영중","","","","","0","","","","동물약국","02-404-9620","211780.33450800000  ","446337.88834800000  ","323000001120100001","정상"
"334","단비온누리약국","","서울특별시 송파구 올림픽로 145 1층 A27호 (잠실동 리센츠상가)","20120820","운영중","","","","","0","","","","동물약국","02-422-6883","207695.51596800000  ","445837.35686600000  ","323000001120120002","정상"
"335","홈플라자약국","","서울특별시 송파구 올림픽로35가길 16 지하1층 (신천동)","20130304","운영중","","","","","0","","","","동물약국","412-5345","209106.43938300000  ","446312.83086400000  ","323000001120130002","정상"
"336","시장온누리약국","서울특별시 송파구 풍납동 152-2번지 1층 ","서울특별시 송파구 바람드리길 52 (풍납동)","20130322","운영중","","","","","","","","","동물약국","478-6665","210727.68890600000  ","448632.04820400000  ","323000001120130003","정상"
"337","키즈플러스약국","","서울특별시 송파구 올림픽로 240 웰빙센터동 S104호 (잠실동 롯데월드)","20130322","운영중","","","","","0","","","","동물약국","411-0187","208883.72375000000  ","445791.32699300000  ","323000001120130004","정상"
"338","명문동물약국","","서울특별시 송파구 마천로41길 20 (마천동)","20130521","운영중","","","","","0","","","","동물약국","400-8216","213229.71716300000  ","444183.79741400000  ","323000001120130006","정상"
"339","참행복한약국","","서울특별시 송파구 송이로 76 (가락동)","20130528","운영중","","","","","0","","","","동물약국","3401-4177","210565.41282700000  ","444412.33125000000  ","323000001120130007","정상"
"340","늘봄약국","","서울특별시 송파구 토성로 78 (풍납동)","20130603","운영중","","","","","0","","","","동물약국","471-5205","210466.56681700000  ","447622.10256300000  ","323000001120130008","정상"
"341","박순영온누리약국","서울특별시 송파구 오금동 19번지 대림아파트상가 117~1호","서울특별시 송파구 마천로7길 6 117~118호 (오금동 오금대림아파트상가)","20130612","운영중","","","","","0","","","","동물약국","430-3371","211311.31683800000  ","445446.60469600000  ","323000001120130010","정상"
